A_EqualWeight_Q,B_Momentum6M,C_RiskParity
0.9496113788866658,0.9496113788866658,0.9645268277008444
0.947450780381348,0.947450780381348,0.9615224567502405
0.9289424246214885,0.9289424246214885,0.9559548771692744
0.9338807559768326,0.9338807559768326,0.9582383068367624
0.9325732937761209,0.9325732937761209,0.9570467507944699
0.9256261523684739,0.9256261523684739,0.94962777374002
0.9243206855606909,0.9243206855606909,0.9471998702015252
0.9281762105511552,0.9281762105511552,0.9468284884871765
0.9295757195131353,0.9295757195131353,0.9477900222236408
0.9355971324019379,0.9355971324019379,0.9565812938029544
0.9364067259244213,0.9364067259244213,0.9569762554005284
0.9343110587129265,0.9343110587129265,0.9531981646120368
0.9436155008709394,0.9436155008709394,0.9557292788588702
0.9628862540673891,0.9628862540673891,0.9633618627552938
0.9628454531285013,0.9628454531285013,0.965167034783111
